N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
32,32,8,4,vit,fc38/MatMul,2064,528,9437184,147456,49152,24576,9437184,393216,540672,24576,1024,131072,131072,262144,64
32,32,8,4,vit,fc39/MatMul,147468,12,905969664,56623104,151781376,150994944,905969664,56623104,113246208,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc40/MatMul,6304,160,9437184,147456,595968,589824,9437184,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,8,4,vit,fc41/MatMul,110616,24,679477248,42467328,228851712,226492416,679477248,42467328,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc42/MatMul,1986,450,7077888,442368,1787904,1769472,7077888,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,8,4,vit,fc43/MatMul,36888,24,226492416,14155776,76283904,75497472,226492416,14155776,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc44/MatMul,1696,160,2359296,147456,595968,589824,2359296,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,8,4,vit,fc45/MatMul,147480,24,905969664,56623104,305135616,301989888,905969664,56623104,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc46/MatMul,2064,528,9437184,147456,49152,24576,9437184,393216,540672,24576,1024,131072,131072,262144,64
32,32,8,4,vit,fc47/MatMul,147468,12,905969664,56623104,151781376,150994944,905969664,56623104,113246208,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc48/MatMul,6304,160,9437184,147456,595968,589824,9437184,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,8,4,vit,fc49/MatMul,110616,24,679477248,42467328,228851712,226492416,679477248,42467328,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc50/MatMul,1986,450,7077888,442368,1787904,1769472,7077888,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,8,4,vit,fc51/MatMul,36888,24,226492416,14155776,76283904,75497472,226492416,14155776,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc52/MatMul,1696,160,2359296,147456,595968,589824,2359296,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,8,4,vit,fc53/MatMul,147480,24,905969664,56623104,305135616,301989888,905969664,56623104,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc54/MatMul,2064,528,9437184,147456,49152,24576,9437184,393216,540672,24576,1024,131072,131072,262144,64
32,32,8,4,vit,fc55/MatMul,147468,12,905969664,56623104,151781376,150994944,905969664,56623104,113246208,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc56/MatMul,6304,160,9437184,147456,595968,589824,9437184,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,8,4,vit,fc57/MatMul,110616,24,679477248,42467328,228851712,226492416,679477248,42467328,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc58/MatMul,1986,450,7077888,442368,1787904,1769472,7077888,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,8,4,vit,fc59/MatMul,36888,24,226492416,14155776,76283904,75497472,226492416,14155776,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc60/MatMul,1696,160,2359296,147456,595968,589824,2359296,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,8,4,vit,fc61/MatMul,147480,24,905969664,56623104,305135616,301989888,905969664,56623104,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc62/MatMul,2064,528,9437184,147456,49152,24576,9437184,393216,540672,24576,1024,131072,131072,262144,64
32,32,8,4,vit,fc63/MatMul,147468,12,905969664,56623104,151781376,150994944,905969664,56623104,113246208,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc64/MatMul,6304,160,9437184,147456,595968,589824,9437184,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,8,4,vit,fc65/MatMul,110616,24,679477248,42467328,228851712,226492416,679477248,42467328,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc66/MatMul,1986,450,7077888,442368,1787904,1769472,7077888,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,8,4,vit,fc67/MatMul,36888,24,226492416,14155776,76283904,75497472,226492416,14155776,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc68/MatMul,1696,160,2359296,147456,595968,589824,2359296,1572864,1720320,6144,1024,131072,131072,262144,64
