N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
32,32,8,4,vit,fc37/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc38/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc39/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc40/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc41/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc42/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc43/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc44/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc45/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc46/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc47/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc48/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc49/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc50/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc51/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc52/MatMul,9472,256,150994944,2359296,10223616,9437184,150994944,196608,2555904,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc53/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc54/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc55/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc56/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc57/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc58/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc59/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc60/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc61/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc62/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc63/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc64/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc65/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc66/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc67/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc68/MatMul,9472,256,150994944,2359296,10223616,9437184,150994944,196608,2555904,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc69/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc70/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc71/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc72/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
